"key","en","de"
"form_builder.dynamic_multi_file.upload_a_file","upload a file","Datei hochladen"
"form_builder.dynamic_multi_file.processing_dropped_files","Processing dropped files...","Vearbeite Daten..."
"form_builder.dynamic_multi_file.drop_files_here","Drop files here","Dateien hierherziehen"
"form_builder.dynamic_multi_file.additions_removals","additions removals","additions removals"
"form_builder.dynamic_multi_file.edit_filename","edit filename","Dateiname bearbeiten"
"form_builder.dynamic_multi_file.cancel","cancel","Abbrechen"
"form_builder.dynamic_multi_file.retry","retry","Erneut versuchen"
"form_builder.dynamic_multi_file.delete","delete","Löschen"
"form_builder.dynamic_multi_file.close","close","Schließen"
"form_builder.dynamic_multi_file.no","no","Nein"
"form_builder.dynamic_multi_file.yes","yes","Ja"
"form_builder.dynamic_multi_file.file_invalid_extension","Invalid file extension.","Ungültige Dateiendung."
"form_builder.dynamic_multi_file.file_is_too_large","File is too large.","Datei ist zu groß."
"form_builder.dynamic_multi_file.file_is_too_small","File is too small.","Datei ist zu klein."
"form_builder.dynamic_multi_file.file_is_empty","File is empty, please select files again without it.","Datei ist leer, bitte wählen Sie die Dateien ohne diese Datei erneut."
"form_builder.dynamic_multi_file.no_files_to_upload","No files to upload.","Keine Dateien zum hochladen."
"form_builder.dynamic_multi_file.too_many_items","Too many items would be uploaded.","Zuviele Dateien gewählt."
"form_builder.dynamic_multi_file.image_too_tall","Image is too tall.","Bild ist zu groß."
"form_builder.dynamic_multi_file.image_too_wide","Image is too wide.","Bild ist zu breit."
"form_builder.dynamic_multi_file.image_not_tall_enough","Image is not tall enough.","Bild ist zu klein."
"form_builder.dynamic_multi_file.image_not_wide_enough","Image is not wide enough.","Bild ist zu schmal."
"form_builder.dynamic_multi_file.retry_failed_limit","Retry failed - you have reached your file limit.","Wiederholung fehlgeschlagen - Sie haben das Dateilimit erreicht."
"form_builder.dynamic_multi_file.files_uploaded","The files are being uploaded, if you leave now the upload will be canceled.","Dateien werden hochgeladen - wenn Sie diese Seite verlassen, wird der Upload abgebrochen."
"form_builder.dynamic_multi_file.unrecoverable_error","Unrecoverable error - this browser does not permit file uploading of any kind due to serious bugs in iOS8 Safari. Please use iOS8 Chrome until Apple fixes these issues.","Unbehebbarer Fehler aufgetreten."
"form_builder.dynamic_multi_file.sure_to_delete","Are you sure you want to delete?","Möchten Sie die Datei wirklich löschen?"
"form_builder.dynamic_multi_file.sure_to_cancel","Are you sure you want to cancel?","Möchten Sie den Vorgang wirklich abbrechen?"
"form_builder.dynamic_multi_file.deleting","Deleting...","Lösche..."
"form_builder.dynamic_multi_file.delete_failed","Delete failed","Löschen fehlgeschlagen"
"form_builder.dynamic_multi_file.percent_of_size","{percent}% of {total_size}","{percent}% von {total_size}"
"form_builder.dynamic_multi_file.upload_failed","Upload failed","Upload fehlgeschlagen."
"form_builder.dynamic_multi_file.processing","Processing...","Verarbeite..."
"form_builder.dynamic_multi_file.paused","Paused","Pausiert"
"form_builder.dynamic_multi_file.cancel","Cancel upload","Upload abbrechen"
"form_builder.dynamic_multi_file.canceled","Canceled","Abgebrochen"
"form_builder.dynamic_multi_file.remove","Remove file","Datei entfernen"
"form_builder.dynamic_multi_file.global.cannot_destroy_active_instance","This uploader is currently active or has some unprocessed files. in case there are some uploaded files, please remove them first.","Ein Uploader ist derzeit in dieser Sektion aktiv oder es wurden bereits Daten verarbeitet. Falls es bereits hochgeladene Dateien gibt, entfernen Sie diese bitte zuerst."
"form_builder.form.container.repeater.min","%label%: You need to add at least %items% items.","%label%: Es werden mindestens %items% Einträge benötigt."
"form_builder.form.container.repeater.max","%label%: Only %items% item(s) allowed.","%label%: Maximal %items% Einträge erlaubt."
"form_builder.form.double_opt_in.duplicate_session","Double-Opt-In Session for the given address has already been created.","Ein Zugang wurde für diese Adresse bereits erstellt."
